50741	123.50 	47.93 	185.2 	11.0 	12.0 	14.3 	16.0 	16.0 	14.0 	12.0 	11.3 	12.0 	13.3 	11.9 	10.2 
50742	124.48 	47.80 	162.7 	10.3 	12.2 	14.3 	16.1 	16.7 	13.0 	11.3 	11.0 	12.0 	13.0 	12.0 	10.3 
50745	123.92 	47.38 	147.1 	10.0 	11.0 	14.0 	15.0 	15.0 	12.0 	11.0 	10.7 	11.2 	12.0 	11.6 	10.0 
50749	124.83 	47.18 	154.6 	10.0 	12.0 	14.0 	15.6 	16.0 	13.0 	12.0 	10.7 	12.1 	13.7 	13.0 	10.1 
50750	125.30 	47.90 	226.4 	10.3 	11.7 	14.3 	15.5 	16.0 	13.3 	10.9 	11.0 	11.7 	12.7 	12.1 	10.3 
50755	126.10 	47.60 	230.7 	8.1 	10.0 	11.6 	13.3 	13.6 	11.5 	10.0 	10.0 	10.0 	11.2 	11.0 	9.3 
50756	126.97 	47.43 	239.2 	9.0 	10.0 	13.0 	15.0 	14.8 	12.0 	11.3 	10.7 	11.3 	12.0 	11.0 	9.0 
50758	125.90 	47.18 	247.2 	10.7 	11.5 	14.7 	16.6 	16.3 	13.0 	12.0 	11.4 	12.0 	14.0 	13.0 	10.7 
50767	127.10 	47.23 	202.7 	9.7 	9.9 	13.0 	15.3 	16.0 	13.3 	13.0 	11.0 	12.3 	13.0 	12.1 	10.0 
50772	129.23 	48.10 	288.0 	9.0 	9.0 	11.3 	14.0 	14.0 	11.0 	10.3 	10.3 	11.9 	12.0 	10.6 	9.0 
50774	128.92 	47.73 	240.9 	8.7 	9.0 	10.7 	13.0 	13.0 	10.7 	10.0 	9.0 	10.0 	11.0 	10.0 	9.0 
50775	130.27 	47.33 	227.9 	12.0 	12.0 	13.3 	15.0 	15.0 	12.0 	11.0 	12.0 	12.3 	13.7 	14.0 	12.3 
50776	130.83 	47.57 	83.3 	11.0 	11.0 	14.0 	17.0 	16.7 	14.0 	12.0 	13.0 	13.0 	14.0 	15.0 	11.3 
50778	132.53 	47.67 	57.5 	11.3 	12.3 	14.0 	15.0 	15.0 	13.0 	11.7 	11.8 	12.3 	13.9 	13.7 	13.0 
50779	134.28 	48.37 	40.0 	11.0 	10.7 	11.7 	11.3 	12.0 	10.7 	10.0 	10.3 	11.0 	11.2 	11.3 	10.7 
50787	131.85 	47.28 	61.8 	12.7 	12.3 	14.0 	14.7 	15.0 	11.7 	10.3 	11.0 	11.7 	14.0 	13.8 	12.0 
50788	131.98 	47.23 	66.4 	11.7 	13.0 	14.0 	15.3 	15.1 	12.0 	10.8 	10.9 	11.3 	13.0 	13.0 	12.1 
50832	122.08 	46.72 	332.6 	13.1 	14.0 	16.0 	17.0 	17.0 	14.2 	13.4 	12.2 	13.3 	14.0 	14.0 	13.6 
50833	122.90 	46.72 	187.8 	9.7 	11.0 	13.0 	16.0 	15.0 	13.0 	11.7 	10.7 	11.0 	12.7 	11.7 	10.0 
50834	121.22 	46.60 	499.7 	12.3 	12.0 	14.3 	16.0 	15.0 	12.7 	11.0 	11.0 	11.3 	14.0 	13.0 	12.0 
50838	122.05 	46.08 	274.7 	12.0 	12.0 	14.8 	16.5 	17.0 	14.0 	12.3 	11.0 	12.1 	14.0 	12.7 	12.0 
50842	124.42 	46.83 	145.4 	11.3 	12.3 	16.0 	17.5 	16.6 	14.0 	13.0 	13.0 	13.7 	15.0 	14.0 	13.0 
50844	123.45 	46.40 	138.8 	10.7 	11.0 	14.0 	15.0 	15.0 	13.0 	12.0 	11.0 	12.0 	13.0 	12.7 	10.0 
50851	126.08 	46.68 	207.4 	11.0 	13.0 	14.3 	16.2 	16.0 	14.0 	11.3 	10.7 	11.3 	13.4 	13.0 	11.0 
50852	126.48 	46.87 	169.1 	11.0 	12.0 	15.0 	18.0 	19.0 	14.2 	12.7 	11.0 	13.0 	13.9 	14.0 	11.3 
50853	126.97 	46.62 	179.6 	10.6 	11.7 	13.9 	18.0 	18.0 	14.7 	13.0 	11.4 	12.1 	14.0 	13.7 	11.3 
50854	125.32 	46.38 	149.3 	10.7 	11.1 	14.7 	17.0 	17.3 	14.0 	12.7 	11.7 	12.0 	13.4 	12.3 	10.7 
50858	125.98 	46.07 	135.0 	10.0 	10.3 	13.7 	16.0 	16.0 	12.8 	10.3 	9.7 	10.7 	12.0 	11.0 	9.7 
50859	126.27 	46.25 	159.1 	9.9 	11.0 	14.2 	17.0 	17.9 	13.0 	11.1 	10.3 	12.4 	14.0 	12.3 	9.9 
50861	127.48 	46.88 	184.8 	10.0 	10.7 	13.0 	16.0 	16.0 	12.7 	11.0 	10.3 	12.0 	13.0 	12.0 	10.0 
50862	128.02 	46.98 	210.5 	8.0 	9.0 	11.0 	14.0 	13.7 	11.6 	10.7 	10.0 	10.0 	10.7 	10.7 	9.0 
50867	127.35 	46.08 	134.1 	13.0 	14.0 	16.7 	19.7 	20.0 	17.0 	14.0 	12.0 	13.7 	15.7 	16.0 	13.7 
50871	129.88 	46.73 	95.1 	11.6 	11.7 	14.0 	15.3 	16.4 	13.2 	11.0 	11.7 	12.0 	13.7 	13.7 	11.7 
50873	130.30 	46.78 	82.0 	11.7 	12.0 	14.7 	17.0 	16.6 	12.4 	12.0 	12.0 	11.9 	15.0 	14.3 	13.0 
50877	129.58 	46.30 	100.1 	19.0 	18.0 	18.0 	18.7 	18.0 	15.7 	13.7 	13.3 	13.7 	17.0 	17.7 	18.0 
50878	130.72 	47.00 	78.2 	10.6 	11.0 	12.7 	15.0 	15.0 	12.0 	11.0 	10.0 	11.0 	12.0 	12.7 	11.0 
50879	130.55 	46.22 	187.0 	16.0 	16.0 	16.0 	16.7 	17.0 	11.9 	11.0 	11.0 	12.7 	15.7 	15.9 	16.0 
50880	131.12 	46.73 	102.3 	12.0 	13.0 	13.7 	15.7 	17.0 	12.0 	11.0 	11.0 	12.7 	14.0 	13.9 	12.3 
50884	131.15 	46.63 	175.3 	12.0 	12.0 	14.3 	16.6 	16.3 	12.8 	12.0 	12.0 	14.0 	15.0 	15.6 	12.3 
50888	132.18 	46.32 	83.0 	14.0 	14.1 	15.0 	16.0 	16.7 	14.0 	11.0 	11.2 	12.0 	14.7 	15.3 	15.0 
50892	134.00 	46.80 	54.4 	11.7 	11.8 	13.0 	16.7 	17.0 	13.3 	11.3 	12.0 	12.0 	14.0 	13.0 	11.6 
50913	118.83 	45.72 	865.0 	13.0 	15.0 	16.8 	20.0 	17.9 	15.0 	13.0 	12.3 	14.4 	15.9 	15.0 	14.2 
50915	116.97 	45.52 	838.9 	12.7 	11.5 	14.7 	17.0 	16.7 	15.0 	13.0 	12.3 	13.0 	13.0 	12.7 	13.0 
50928	120.33 	45.07 	628.3 	16.3 	16.0 	16.3 	18.0 	16.0 	14.0 	13.0 	12.0 	13.0 	15.7 	15.1 	16.0 
50934	121.58 	45.38 	311.7 	17.0 	16.3 	18.0 	19.0 	18.5 	15.0 	13.0 	12.0 	13.0 	16.7 	17.0 	16.3 
